Table,Column,Data_Type,Required,Description,Alternative_Keywords
PURCHASE_METRICS,supplier_count,Integer,No,Active suppliers,"Suppliers, Vendors"
PURCHASE_METRICS,lead_time_avg,Integer,No,Average lead time,"Lead Time, Days"
PURCHASE_METRICS,cost_savings,Decimal,No,Savings achieved,"Savings, Cost Reduction"
PURCHASE_METRICS,mom_change,Decimal,No,Month-over-month change,"MoM, Monthly Change"
PURCHASE_METRICS,yoy_change,Decimal,No,Year-over-year change,"YoY, Annual Change"
PURCHASE_REQUISITIONS,req_id,Text,Yes,Unique requisition ID,"Requisition Number, PR Number, Request Number"
PURCHASE_REQUISITIONS,req_date,Date,Yes,Request date,"Date, Request Date"
PURCHASE_REQUISITIONS,requester_id,Text,Yes,Requester ID,"Requester, User ID, Employee"
PURCHASE_REQUISITIONS,requester_name,Text,No,Requester name,"Name, Requester Name"
PURCHASE_REQUISITIONS,department,Text,Yes,Department,"Department, Cost Center"
PURCHASE_REQUISITIONS,description,Text,Yes,Request description,"Description, Details, Purpose"
PURCHASE_REQUISITIONS,estimated_value,Decimal,No,Estimated cost,"Value, Estimate, Budget"
PURCHASE_REQUISITIONS,urgency,Enum,No,Request urgency,"Urgency, Priority"
PURCHASE_REQUISITIONS,status,Enum,Yes,Requisition status,"Status, State"
PURCHASE_REQUISITIONS,po_id,Text,No,Linked PO (if converted),"PO, Order, Purchase Order"
PURCHASE_REQUISITIONS,approved_by,Text,No,Approver,"Approver, Manager"
PURCHASE_REQUISITIONS,approval_date,Date,No,Approval date,"Approval Date"
PURCHASE_REQUISITIONS,rejection_reason,Text,No,Rejection reason if rejected,"Reason, Rejection"
PURCHASE_RECEIPTS,receipt_id,Text,Yes,Unique receipt ID,"Receipt Number, GRN Number, Receiving Number"
PURCHASE_RECEIPTS,receipt_date,Date,Yes,Receipt date,"Date, Receiving Date, GRN Date"
PURCHASE_RECEIPTS,po_id,Text,Yes,Related PO,"PO Number, Order Number"
PURCHASE_RECEIPTS,supplier_id,Text,Yes,Supplier,"Supplier, Vendor"
PURCHASE_RECEIPTS,warehouse_id,Text,Yes,Receiving warehouse,"Warehouse, Location, Site"
PURCHASE_RECEIPTS,total_quantity,Integer,Yes,Total units received,"Quantity, Units"
PURCHASE_RECEIPTS,total_value,Decimal,Yes,Receipt value,"Value, Amount"
PURCHASE_RECEIPTS,status,Enum,Yes,Receipt status,"Status, State"
PURCHASE_RECEIPTS,received_by,Text,No,Receiver,"Receiver, Operator"
PURCHASE_RECEIPTS,quality_status,Enum,No,QC result,"Quality, QC, Inspection Result"
PURCHASE_RECEIPTS,variance,Decimal,No,Quantity variance,"Variance, Difference"
PURCHASE_RECEIPTS,carrier,Text,No,Shipping carrier,"Carrier, Shipper"
PURCHASE_RECEIPTS,tracking,Text,No,Tracking number,"Tracking, AWB"
