Table,Column,Data_Type,Required,Description,Alternative_Keywords
INVENTORY_ITEMS,last_sold_date,Date,No,Last sale date,"Last Sold, Last Stock Out"
INVENTORY_MOVEMENTS,movement_id,Text,Yes,Unique movement ID,"Movement Number, Transaction ID, Stock Transaction"
INVENTORY_MOVEMENTS,item_id,Text,Yes,Item reference,"Item Number, SKU, Product Number"
INVENTORY_MOVEMENTS,movement_date,DateTime,Yes,Transaction time,"Date, Transaction Date, Movement Date, Posting Date"
INVENTORY_MOVEMENTS,movement_type,Enum,Yes,Type of movement,"Type, Transaction Type, Movement Type"
INVENTORY_MOVEMENTS,quantity,Integer,Yes,Quantity moved,"Quantity, Count, Units"
INVENTORY_MOVEMENTS,direction,Enum,Yes,In or out,"Direction, Flow, Type"
INVENTORY_MOVEMENTS,reference,Text,No,Reference document,"Reference, Document, Order Number, PO Number, SO Number"
INVENTORY_MOVEMENTS,warehouse_from,Text,No,Source warehouse,"From, Source, Origin"
INVENTORY_MOVEMENTS,warehouse_to,Text,No,Destination warehouse,"To, Destination, Target"
INVENTORY_MOVEMENTS,cost,Decimal,No,Transaction cost,"Cost, Value, Amount"
INVENTORY_MOVEMENTS,reason,Text,No,Movement reason,"Reason, Purpose, Notes"
INVENTORY_MOVEMENTS,user_id,Text,No,Who processed,"User, Operator, Processed By"
INVENTORY_METRICS,period,Text,Yes,Time period,"Period, Month, Year-Month"
INVENTORY_METRICS,warehouse_id,Text,No,Warehouse (null for total),"Warehouse, Location"
INVENTORY_METRICS,category,Text,No,Category (null for total),"Category, Product Group"
INVENTORY_METRICS,total_stock_value,Decimal,Yes,Total inventory value,"Stock Value, Inventory Value, Value"
INVENTORY_METRICS,total_sku_count,Integer,Yes,Number of items,"SKU Count, Item Count, Products"
INVENTORY_METRICS,in_stock_rate,Decimal,Yes,Items in stock %,"In Stock Rate, Availability, Fill Rate"
INVENTORY_METRICS,out_of_stock_count,Integer,Yes,OOS item count,"OOS Count, Stockouts"
INVENTORY_METRICS,low_stock_count,Integer,Yes,Low stock items,"Low Stock, Below ROP"
INVENTORY_METRICS,overstock_count,Integer,No,Overstock items,"Overstock, Excess"
INVENTORY_METRICS,turnover_rate,Decimal,Yes,Inventory turnover,"Turnover, Turn Rate, ITO"
INVENTORY_METRICS,days_on_hand,Decimal,Yes,Average days in stock,"DOH, Days of Inventory, DIO"
INVENTORY_METRICS,dead_stock_value,Decimal,No,Non-moving stock value,"Dead Stock, Obsolete"
INVENTORY_METRICS,shrinkage_rate,Decimal,No,Inventory loss %,"Shrinkage, Loss, Variance Rate"
INVENTORY_METRICS,accuracy_rate,Decimal,No,Inventory accuracy %,"Accuracy, IRA"
INVENTORY_AGING,item_id,Text,Yes,Item reference,"Item Number, SKU"
INVENTORY_AGING,warehouse_id,Text,Yes,Warehouse location,"Warehouse, Location"
INVENTORY_AGING,quantity,Integer,Yes,Current quantity,"Quantity, Stock"
INVENTORY_AGING,age_days,Integer,Yes,Days since receipt,"Age, Days, Days Held"
INVENTORY_AGING,age_bucket,Enum,Yes,Age category,"Bucket, Range, Band"
INVENTORY_AGING,value,Decimal,Yes,Inventory value,"Value, Amount"
INVENTORY_AGING,last_movement_date,Date,Yes,Last activity date,"Last Movement, Last Activity"
INVENTORY_AGING,last_sale_date,Date,No,Last sale date,"Last Sale"
INVENTORY_AGING,risk_level,Enum,No,Obsolescence risk,"Risk, Risk Level"
WAREHOUSES,warehouse_id,Text,Yes,Unique warehouse ID,"Warehouse Number, Location ID, Site ID"
WAREHOUSES,warehouse_name,Text,Yes,Warehouse name,"Name, Location Name, Site Name"
WAREHOUSES,warehouse_type,Enum,Yes,Warehouse type,"Type, Category"
WAREHOUSES,address,Text,No,Physical address,"Address, Location"
WAREHOUSES,city,Text,No,City,"City, Town"
WAREHOUSES,country,Text,No,Country,"Country, Region"
WAREHOUSES,capacity_units,Integer,No,Storage capacity,"Capacity, Max Units"
WAREHOUSES,current_utilization,Decimal,No,Current utilization %,"Utilization, Usage"
WAREHOUSES,manager,Text,No,Warehouse manager,"Manager, Supervisor"
WAREHOUSES,status,Enum,Yes,Operational status,"Status, State"
WAREHOUSES,cost_per_unit,Decimal,No,Storage cost per unit,"Cost, Rate"
STOCK_COUNTS,count_id,Text,Yes,Unique count ID,"Count Number, Audit Number, Cycle Count Number"
STOCK_COUNTS,count_date,Date,Yes,Count date,"Date, Count Date, Audit Date"
STOCK_COUNTS,warehouse_id,Text,Yes,Warehouse counted,"Warehouse, Location"
STOCK_COUNTS,item_id,Text,Yes,Item counted,"Item Number, SKU"
STOCK_COUNTS,system_quantity,Integer,Yes,System quantity,"System, Expected, Book Qty"
STOCK_COUNTS,physical_quantity,Integer,Yes,Physical count,"Physical, Actual, Counted"
STOCK_COUNTS,variance,Integer,Yes,Quantity difference,"Variance, Difference, Discrepancy"
STOCK_COUNTS,variance_value,Decimal,Yes,Value difference,"Variance Value, Amount"
STOCK_COUNTS,reason,Text,No,Variance reason,"Reason, Explanation"
STOCK_COUNTS,counted_by,Text,No,Who counted,"Counter, Auditor"
STOCK_COUNTS,verified_by,Text,No,Who verified,"Verifier, Supervisor"
STOCK_COUNTS,adjustment_made,Boolean,No,Was adjustment posted,"Adjusted, Posted"
