Table,Column,Data_Type,Required,Description,Alternative_Keywords
CUSTOMER_INTERACTIONS,subject,Text,No,Interaction subject,"Subject, Title, Reason, Purpose"
CUSTOMER_INTERACTIONS,sentiment,Enum,No,Sentiment analysis,"Sentiment, Mood, Tone, Feeling"
CUSTOMER_INTERACTIONS,resolution,Boolean,No,Was issue resolved,"Resolved, Completed, Closed"
CUSTOMER_INTERACTIONS,agent_id,Text,No,Support agent ID,"Agent, Representative, Handler"
CUSTOMER_INTERACTIONS,duration_minutes,Integer,No,Interaction length,"Duration, Time Spent, Length, Minutes"
CUSTOMER_FEEDBACK,feedback_id,Text,Yes,Unique feedback ID,"Feedback Number, Survey ID, Response ID, Review ID"
CUSTOMER_FEEDBACK,customer_id,Text,Yes,Customer reference,"Customer Number, Client ID"
CUSTOMER_FEEDBACK,feedback_date,Date,Yes,Feedback submission date,"Date, Submit Date, Response Date"
CUSTOMER_FEEDBACK,feedback_type,Enum,Yes,Type of feedback,"Type, Category, Feedback Category"
CUSTOMER_FEEDBACK,rating,Integer,Yes,Numeric rating (1-5 or 1-10),"Rating, Score, Stars, Grade, Points"
CUSTOMER_FEEDBACK,nps_response,Integer,No,NPS response (0-10),"NPS, NPS Score, Promoter Score"
CUSTOMER_FEEDBACK,comment,LongText,No,Free-text feedback,"Comment, Note, Remarks, Feedback Text, Review"
CUSTOMER_FEEDBACK,category,Text,No,Feedback category,"Category, Topic, Area, Aspect"
CUSTOMER_FEEDBACK,sentiment,Enum,No,Detected sentiment,"Sentiment, Tone, Mood"
CUSTOMER_FEEDBACK,product_id,Text,No,Related product,"Product, Item, SKU"
CUSTOMER_FEEDBACK,resolved,Boolean,No,Was issue addressed,"Resolved, Addressed, Closed"
